Id,Uid,Name,Country code,Country name,Country uid,Provider,Adm level,G0,G1,G2,G3,G4,Custom geo source
3496,gn_2147291,Tasmania,AU,Australia,gn_2077456,gn,1,gn_2077456,gn_2147291,,,,
3488,gn_2145234,Victoria,AU,Australia,gn_2077456,gn,1,gn_2077456,gn_2145234,,,,
3451,gn_2058645,Western Australia,AU,Australia,gn_2077456,gn,1,gn_2077456,gn_2058645,,,,
1204,gn_2782113,Austria,AT,Austria,gn_2782113,gn,0,gn_2782113,,,,,
1186,gn_2781194,Burgenland,AT,Austria,gn_2782113,gn,1,gn_2782113,gn_2781194,,,,
1069,gn_2774686,Carinthia,AT,Austria,gn_2782113,gn,1,gn_2782113,gn_2774686,,,,
987,gn_2770542,Lower Austria,AT,Austria,gn_2782113,gn,1,gn_2782113,gn_2770542,,,,
932,gn_2766823,Salzburg,AT,Austria,gn_2782113,gn,1,gn_2782113,gn_2766823,,,,
882,gn_2764581,Styria,AT,Austria,gn_2782113,gn,1,gn_2782113,gn_2764581,,,,
858,gn_2763586,Tyrol,AT,Austria,gn_2782113,gn,1,gn_2782113,gn_2763586,,,,
978,gn_2769848,Upper Austria,AT,Austria,gn_2782113,gn,1,gn_2782113,gn_2769848,,,,
820,gn_2761367,Vienna,AT,Austria,gn_2782113,gn,1,gn_2782113,gn_2761367,,,,
838,gn_2762300,Vorarlberg,AT,Austria,gn_2782113,gn,1,gn_2782113,gn_2762300,,,,
4251,gn_587116,Azerbaijan,AZ,Azerbaijan,gn_587116,gn,0,gn_587116,,,,,
4252,gn_587245,Abseron,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_587245,,,,
4200,gn_148615,Agcabadi,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_148615,,,,
4201,gn_148617,Agdam,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_148617,,,,
4254,gn_587376,Agdas,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_587376,,,,
4256,gn_828297,Agstafa,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_828297,,,,
4253,gn_587342,Agsu,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_587342,,,,
4198,gn_148442,Astara,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_148442,,,,
4249,gn_587081,Baki Sahari,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_587081,,,,
4247,gn_587010,Balakan,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_587010,,,,
4248,gn_587056,Barda,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_587056,,,,
4172,gn_146879,Beylaqan,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_146879,,,,
4180,gn_147310,Bilasuvar,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_147310,,,,
4195,gn_148140,Cabrayil,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_148140,,,,
4196,gn_148155,Calilabad,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_148155,,,,
4246,gn_586771,Daskasan,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_586771,,,,
4193,gn_148107,Fuzuli,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_148107,,,,
4255,gn_627535,Gadabay,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_627535,,,,
4257,gn_828298,Ganca Sahari,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_828298,,,,
4238,gn_586112,Goranboy,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_586112,,,,
4244,gn_586482,Goycay,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_586482,,,,
4234,gn_585967,Goygol,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_585967,,,,
4267,gn_828315,Haciqabul,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_828315,,,,
4190,gn_147983,Imisli,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_147983,,,,
4241,gn_586320,Ismayilli,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_586320,,,,
4236,gn_586047,Kalbacar,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_586047,,,,
4228,gn_585686,Kurdamir,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_585686,,,,
4188,gn_147626,Lacin,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_147626,,,,
4187,gn_147613,Lankaran,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_147613,,,,
4204,gn_409418,Lankaran Sahari,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_409418,,,,
4186,gn_147610,Lerik,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_147610,,,,
4184,gn_147551,Masalli,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_147551,,,,
4258,gn_828299,Mingacevir Sahari,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_828299,,,,
4259,gn_828300,Naftalan Sahari,AZ,Azerbaijan,gn_587116,gn,1,gn_587116,gn_828300,,,,
